Chromosome	Start	End	Num.Probes	Segment.Mean
chr1	61735	584105	33	1.92705
chr1	584105	4132829	1175	2.60181
chr1	4132829	5323509	1082	2.3181
chr1	5323509	32244766	15549	2.58753
chr1	32244766	32313941	32	3.52342
chr1	32313941	71717491	25076	2.43235
chr1	71717491	71861408	89	1.75086
chr1	71861408	72334998	293	2.10717
chr1	72334998	72524185	111	1.21264
chr1	72524185	85984457	8920	2.25757
chr1	85984457	86004587	10	3.49322
chr1	86004587	109735894	14986	2.31398
chr1	109735894	110227507	262	2.64945
chr1	110227507	110241565	19	1.90571
chr1	110241565	110354372	86	2.89427
chr1	110354372	114906336	3337	2.463
chr1	114906336	114929063	10	1.52051
chr1	114929063	119935561	3211	2.41388
chr1	119935561	119959832	10	1.62268
chr1	119959832	144008480	639	2.50028
chr1	144008480	144078865	39	3.14737
chr1	144078865	144902125	74	2.45199
chr1	144902125	145080023	79	2.98288
chr1	145080023	145377343	108	3.93961
chr1	145377343	145429022	17	6.47945
chr1	145429022	149038295	919	2.53656
chr1	149038295	149258053	135	1.72061
chr1	149258053	150145651	249	2.57697
chr1	150145651	150939971	372	4.86609
chr1	150939971	151347612	178	3.87378
chr1	151347612	152555616	750	3.11958
chr1	152555616	152586558	33	1.54701
chr1	152586558	152741378	160	2.9284
chr1	152741378	152975866	222	2.33297
chr1	152975866	153001104	10	1.56096
chr1	153001104	155791319	1461	2.68748
chr1	155791319	155992519	80	3.34369
chr1	155992519	158660331	1761	2.7667
chr1	158660331	165686232	5305	2.48824
chr1	165686232	165717885	18	1.79608
chr1	165717885	170367693	3569	2.53243
chr1	170367693	170382742	16	3.70796
chr1	170382742	172299894	1244	2.58942
chr1	172299894	172365243	46	4.08124
chr1	172365243	178665991	3960	2.44947
chr1	178665991	178669091	10	3.75855
chr1	178669091	187225820	5845	2.46031
chr1	187225820	192394453	3397	2.19691
chr1	192394453	206296166	9271	2.56207
chr1	206296166	206578444	15	1.88942
chr1	206578444	208019677	983	2.60499
chr1	208019677	213131836	3843	1.02412
chr1	213131836	213152662	12	1.39112
chr1	213152662	217423676	3162	0.941351
chr1	217423676	217895504	307	1.26885
chr1	217895504	217943271	29	0.864908
chr1	217943271	223136560	3564	1.35649
chr1	223136560	224690475	931	1.60782
chr1	224690475	225683993	696	1.06298
chr1	225683993	227188702	892	1.60052
chr1	227188702	227678329	339	0.987389
chr1	227678329	227697957	11	1.48269
chr1	227697957	227879376	112	1.03598
chr1	227879376	229417952	869	1.59038
chr1	229417952	232251278	2060	1.00608
chr1	232251278	232283053	30	0.735504
chr1	232283053	233953837	1430	0.985725
chr1	233953837	234567384	515	1.4818
chr1	234567384	236409343	1141	1.11163
chr1	236409343	240043394	2974	0.988684
chr1	240043394	240053575	13	1.34907
chr1	240053575	240367973	292	0.932846
chr1	240367973	240378355	17	1.29829
chr1	240378355	241117174	574	0.938841
chr1	241117174	241140541	16	1.59939
