Chromosome	Start	End	Num.Probes	Segment.Mean
chr1	61735	2789507	582	2.32702
chr1	2789507	2833246	11	1.68096
chr1	2833246	16144996	7956	2.40682
chr1	16144996	16152562	12	1.85386
chr1	16152562	17008714	372	2.44768
chr1	17008714	17262060	124	2.01482
chr1	17262060	19029848	1320	2.39109
chr1	19029848	19044597	11	1.80904
chr1	19044597	48932646	17017	2.45029
chr1	48932646	49998564	649	3.01866
chr1	49998564	50051680	18	2.33629
chr1	50051680	57296370	4388	2.99961
chr1	57296370	57317542	12	2.23377
chr1	57317542	66648328	7117	2.99626
chr1	66648328	66671054	10	2.09909
chr1	66671054	70363988	2527	2.99983
chr1	70363988	70392292	12	2.23095
chr1	70392292	71087883	418	3.01877
chr1	71087883	72768458	1035	2.46691
chr1	72768458	72788784	20	1.90998
chr1	72788784	72800557	11	2.79763
chr1	72800557	72810390	12	1.76177
chr1	72810390	77763214	3229	2.48737
chr1	77763214	77800937	61	1.90541
chr1	77800937	79658598	1073	2.5234
chr1	79658598	79690045	13	1.8408
chr1	79690045	85980141	4349	2.47688
chr1	85980141	86004587	11	3.88819
chr1	86004587	91907377	3931	2.4858
chr1	91907377	95781579	2507	1.94372
chr1	95781579	95796601	18	1.38077
chr1	95796601	99711883	2369	1.96514
chr1	99711883	102102641	1596	3.13756
chr1	102102641	110227448	4826	1.93311
chr1	110227448	110246275	25	1.42229
chr1	110246275	117980771	5472	1.9345
chr1	117980771	119217460	743	2.52294
chr1	119217460	120118133	607	2.96514
chr1	120118133	120129476	30	2.3795
chr1	120129476	145080023	628	3.12949
chr1	145080023	145377343	108	3.7839
chr1	145377343	145416085	14	4.91167
chr1	145416085	145723170	140	6.3601
chr1	145723170	147340131	627	5.44276
chr1	147340131	147837986	94	6.44977
chr1	147837986	148566350	12	4.46471
chr1	148566350	148636830	10	2.86257
chr1	148636830	148662618	11	5.38437
chr1	148662618	148882141	10	2.85002
chr1	148882141	149338206	167	4.7644
chr1	149338206	149718166	43	3.4593
chr1	149718166	149921102	83	4.99716
chr1	149921102	150277205	158	6.60451
chr1	150277205	150300387	11	4.69141
chr1	150300387	151321943	452	6.62257
chr1	151321943	152230547	568	5.59227
chr1	152230547	152270631	10	3.85353
chr1	152270631	152555616	210	5.86624
chr1	152555616	152586585	34	2.17473
chr1	152586585	152885471	296	5.72902
chr1	152885471	153602551	518	1.43096
chr1	153602551	157105969	1684	2.48025
chr1	157105969	157473158	250	1.39328
chr1	157473158	157483118	10	1.02518
chr1	157483118	160654772	2338	1.39955
chr1	160654772	160660305	10	0.967109
chr1	160660305	165134609	3322	1.4029
chr1	165134609	165850483	679	2.48443
chr1	165850483	167880281	1556	1.40464
chr1	167880281	167909619	10	0.868163
chr1	167909619	169225455	1034	1.41381
chr1	169225455	169255951	10	2.09018
chr1	169255951	169625101	274	1.43965
chr1	169625101	175007927	3409	2.5425
chr1	175007927	185910475	7481	1.40574
chr1	185910475	191232255	3525	2.47119
chr1	191232255	191274048	30	1.90104
chr1	191274048	191340743	30	2.5651
chr1	191340743	192135205	474	1.38198
chr1	192135205	192302883	96	2.5349
chr1	192302883	192318943	11	1.73764
chr1	192318943	192572161	179	2.56919
chr1	192572161	196726541	2887	1.3763
chr1	196726541	196741341	16	0.646913
chr1	196741341	196749519	12	0.400379
chr1	196749519	196798712	48	0.949686
chr1	196798712	196801719	13	0.566997
chr1	196801719	197350502	296	1.34088
chr1	197350502	197364744	10	0.970068
chr1	197364744	202378882	3361	1.42747
chr1	202378882	202824399	278	2.47555
chr1	202824399	204501036	1146	1.38427
chr1	204501036	204509955	11	1.87027
chr1	204509955	206555897	1082	1.42138
chr1	206555897	206596134	11	1.93499
chr1	206596134	207688435	782	1.41966
chr1	207688435	207733120	10	1.01239
chr1	207733120	213242435	4088	1.40127
chr1	213242435	213270592	10	0.992289
chr1	213270592	224185540	7638	1.40415
chr1	224185540	225719695	1021	2.46077
chr1	225719695	228766465	1722	1.44411
chr1	228766465	228811543	10	0.887546
chr1	228811543	229050292	144	1.4144
chr1	229050292	229066685	10	1.05389
chr1	229066685	231076971	1590	1.39999
chr1	231076971	231087458	13	2.652
chr1	231087458	233467203	1794	1.3786
chr1	233467203	233470281	10	1.02968
chr1	233470281	234877292	1207	1.40155
chr1	234877292	234886577	11	1.04891
chr1	234886577	236877610	1238	1.41415
chr1	236877610	237543392	594	2.4871
chr1	237543392	239074661	1304	1.36788
chr1	239074661	240220376	872	2.5327
chr1	240220376	241699068	1205	1.39472
chr1	241699068	241708445	15	1.04195
chr1	241708445	242356844	475	1.40407
chr1	242356844	242368496	10	1.92672
chr1	242368496	244774201	1669	1.38996
chr1	244774201	244787491	14	1.06757
chr1	244787491	245400358	353	1.40564
chr1	245400358	245412736	10	1.01747
chr1	245412736	248083687	1900	1.41025
chr1	248083687	249224389	535	2.4174
chr2	12784	4209775	3035	1.30119
chr2	4209775	4217841	11	0.81274
chr2	4217841	4219540	10	0.47135
chr2	4219540	4340380	152	1.26842
chr2	4340380	4354794	14	0.906811
chr2	4354794	10953051	5199	1.32225
chr2	10953051	34422179	15784	2.44058
chr2	34422179	34440423	13	1.81628
chr2	34440423	42770942	6362	2.48377
chr2	42770942	42804362	12	1.85464
chr2	42804362	47725296	3634	2.46009
chr2	47725296	47737466	10	1.80133
chr2	47737466	51646275	2674	2.45101
chr2	51646275	51654243	13	1.87676
chr2	51654243	60452178	6273	2.44498
chr2	60452178	60471374	10	1.82202
chr2	60471374	73124397	7904	2.41362
chr2	73124397	73236875	48	4.1557
chr2	73236875	73396351	64	2.77001
chr2	73396351	73555701	61	1.90273
chr2	73555701	74062724	226	2.93621
chr2	74062724	74816719	443	1.89191
chr2	74816719	75011378	123	2.37276
chr2	75011378	75288734	185	1.88473
chr2	75288734	75747722	401	2.44003
chr2	75747722	78250232	1754	1.86443
chr2	78250232	78315390	55	3.00656
chr2	78315390	78354172	27	1.80967
chr2	78354172	78388795	20	2.83203
chr2	78388795	79019133	331	1.89636
chr2	79019133	79188701	135	3.92643
chr2	79188701	81787484	1895	1.87371
chr2	81787484	81799226	11	1.3882
