Chromosome	Start	End	Num.Probes	Segment.Mean
chr1	61735	469361	31	1.75519
chr1	469361	2170393	393	2.55024
chr1	2170393	2194373	10	1.58523
chr1	2194373	10374435	4863	2.46198
chr1	10374435	10382255	12	1.53016
chr1	10382255	11093215	375	2.4917
chr1	11093215	11129096	10	1.59053
chr1	11129096	16144996	2855	2.43837
chr1	16144996	16153891	17	1.52253
chr1	16153891	17765357	866	2.41839
chr1	17765357	17823357	25	1.79578
chr1	17823357	20348031	1821	2.49219
chr1	20348031	20384919	18	1.7314
chr1	20384919	45825476	14313	2.41542
chr1	45825476	45844327	10	1.55885
chr1	45844327	49914527	2407	2.41516
chr1	49914527	50018122	34	1.7257
chr1	50018122	64602798	9899	2.3504
chr1	64602798	64612898	10	1.5561
chr1	64612898	65396719	722	2.30609
chr1	65396719	65412097	12	1.59973
chr1	65412097	70625620	3578	2.25564
chr1	70625620	70791306	70	1.38302
chr1	70791306	72765894	1239	2.19937
chr1	72765894	72811007	45	1.21114
chr1	72811007	77782574	3268	2.24033
chr1	77782574	77786501	10	1.59922
chr1	77786501	78712804	485	2.27851
chr1	78712804	78734500	10	1.25014
chr1	78734500	84319224	3786	2.2071
chr1	84319224	84327921	10	1.4721
chr1	84327921	84991157	439	2.28217
chr1	84991157	85017689	12	1.43469
chr1	85017689	89475242	3094	2.28657
chr1	89475242	89489501	10	1.56429
chr1	89489501	97121423	4914	2.29678
chr1	97121423	97247927	57	1.32534
chr1	97247927	144553513	15253	2.27711
chr1	144553513	144849548	10	1.44639
chr1	144849548	147828523	1110	2.38715
chr1	147828523	148606453	20	1.71163
chr1	148606453	152555616	1727	2.33577
chr1	152555616	152586409	32	1.10396
chr1	152586409	152760800	182	2.37802
chr1	152760800	152771302	37	1.85021
chr1	152771302	158486569	3292	2.40038
chr1	158486569	158517333	60	1.83096
chr1	158517333	163509094	3644	2.34269
chr1	163509094	163524808	10	1.54212
chr1	163524808	171955150	6406	2.33431
chr1	171955150	171976441	10	1.27248
chr1	171976441	186632222	9666	2.34672
chr1	186632222	192254225	3704	2.13403
chr1	192254225	192278362	10	1.45491
chr1	192278362	200980224	5856	2.2104
chr1	200980224	202565000	1079	2.50701
