Chromosome	Start	End	Num.Probes	Segment.Mean
chr1	61735	98595	17	1.73173
chr1	98595	719976	21	2.5095
chr1	719976	4408030	1382	1.32565
chr1	4408030	4417924	10	1.81688
chr1	4417924	4605412	206	1.28172
chr1	4605412	4612137	10	1.70043
chr1	4612137	6195580	1308	1.28851
chr1	6195580	6414374	90	1.51321
chr1	6414374	8743451	1371	1.29578
chr1	8743451	15527828	3762	2.36868
chr1	15527828	15542344	10	3.15905
chr1	15542344	21081408	3601	2.35046
chr1	21081408	21097744	10	3.11111
chr1	21097744	25755286	2679	2.30525
chr1	25755286	25892128	13	1.73836
chr1	25892128	51539044	14258	2.26327
chr1	51539044	51582674	10	1.66002
chr1	51582674	61646052	7076	2.24654
chr1	61646052	61662253	10	3.12737
chr1	61662253	72779085	7758	2.24832
chr1	72779085	72796959	16	2.87123
chr1	72796959	144078865	31351	2.24221
chr1	144078865	152574332	2903	2.72679
chr1	152574332	152586409	10	1.9101
chr1	152586409	155785287	1852	2.75802
chr1	155785287	157963838	1281	3.31373
chr1	157963838	198608120	28159	2.70167
chr1	198608120	198628204	12	3.65842
chr1	198628204	204514304	4030	2.71406
chr1	204514304	204514981	12	3.55488
chr1	204514981	234289095	20603	2.69904
chr1	234289095	237759940	2542	2.99239
chr1	237759940	243000161	4214	2.66315
chr1	243000161	249224389	3948	3.31797
chr2	12784	23581966	17581	2.30728
chr2	23581966	23584666	10	1.55771
chr2	23584666	34695192	6818	2.35579
chr2	34695192	34736785	45	2.92566
chr2	34736785	40095227	3908	2.35147
chr2	40095227	40107795	11	3.13173
chr2	40107795	53650583	10080	2.35244
chr2	53650583	53656234	10	1.73547
chr2	53656234	63084451	6125	2.34955
chr2	63084451	63101769	10	3.30855
chr2	63101769	69837644	4540	2.35349
chr2	69837644	69858484	11	3.20909
chr2	69858484	81008548	7312	2.33351
chr2	81008548	81031926	10	3.12039
chr2	81031926	105490542	10155	2.23047
chr2	105490542	105511413	10	1.43127
chr2	105511413	112569913	3950	2.13668
chr2	112569913	112615695	11	2.94176
chr2	112615695	116075202	2095	2.14505
chr2	116075202	116094614	10	1.46275
chr2	116094614	122111752	3872	2.1136
chr2	122111752	122161464	28	2.62896
chr2	122161464	133195401	6505	2.10813
chr2	133195401	133204553	10	1.42445
chr2	133204553	146864436	8882	2.11566
chr2	146864436	146872370	22	1.30047
chr2	146872370	169134869	13392	2.14142
chr2	169134869	169147719	10	1.23099
chr2	169147719	172248038	2087	2.17197
chr2	172248038	172271697	12	1.64126
chr2	172271697	198535194	15926	2.13945
chr2	198535194	228117553	18992	2.61726
chr2	228117553	228134323	11	3.4471
chr2	228134323	240214434	7853	2.58992
chr2	240214434	243089457	1573	2.90197
chr3	60345	2113803	1891	1.57038
chr3	2113803	2126448	10	1.01101
chr3	2126448	4094630	1820	1.58517
chr3	4094630	4099003	11	2.26597
chr3	4099003	5607131	1258	1.61792
chr3	5607131	5621340	15	2.11469
chr3	5621340	10380144	3919	1.57316
chr3	10380144	10414326	17	2.19896
chr3	10414326	12691234	1757	1.6353
chr3	12691234	12701588	33	2.04595
chr3	12701588	28808911	11062	1.58789
chr3	28808911	28821771	12	2.15406
chr3	28821771	30122960	990	1.57444
chr3	30122960	30132047	11	1.18827
chr3	30132047	50953442	12561	1.616
chr3	50953442	50961216	11	2.4047
chr3	50961216	52873500	755	1.65663
chr3	52873500	52891660	10	2.19861
chr3	52891660	64954719	9539	1.59013
chr3	64954719	64956869	23	2.05221
chr3	64956869	68728889	2752	1.58799
chr3	68728889	68748085	16	2.2982
chr3	68748085	75379399	4925	1.57861
chr3	75379399	75549832	80	1.84497
chr3	75549832	75602367	15	2.47074
chr3	75602367	75922168	89	1.83891
chr3	75922168	76925031	643	1.52394
chr3	76925031	89196885	6823	2.02902
chr3	89196885	89208364	11	2.71749
chr3	89208364	107003486	8388	1.87376
chr3	107003486	107043179	16	2.55721
chr3	107043179	116988120	6407	1.86658
chr3	116988120	132084090	9284	2.37817
chr3	132084090	132101422	10	1.69546
chr3	132101422	188923880	35539	2.37012
chr3	188923880	189041795	80	3.54596
chr3	189041795	197896119	5554	2.37501
chr4	12281	9459103	5364	1.69532
chr4	9459103	9482716	10	2.91201
chr4	9482716	23462516	10389	1.63761
chr4	23462516	23474790	10	2.51679
chr4	23474790	41147749	11672	1.63152
chr4	41147749	41179730	25	2.02333
chr4	41179730	45665834	2820	1.62762
chr4	45665834	45682178	10	1.18872
chr4	45682178	49303544	1979	1.62818
chr4	49303544	51172155	21	2.30037
chr4	51172155	55156809	1565	1.65135
chr4	55156809	55159174	11	2.44753
chr4	55159174	61390583	4222	1.63769
chr4	61390583	61405148	10	1.05168
chr4	61405148	63659568	1277	1.59109
chr4	63659568	63667363	10	2.2777
chr4	63667363	64697569	579	1.58224
chr4	64697569	64708215	25	2.62093
chr4	64708215	69255070	2895	1.59324
chr4	69255070	69291470	11	2.66366
chr4	69291470	115175333	28142	1.64629
chr4	115175333	115184288	25	2.66192
chr4	115184288	119407720	2580	1.60736
chr4	119407720	119494174	30	2.1146
chr4	119494174	137781771	10596	1.62429
chr4	137781771	137887606	62	1.98791
chr4	137887606	142927865	3450	1.66057
chr4	142927865	142954370	11	2.26162
chr4	142954370	144720023	1168	1.67047
chr4	144720023	144738814	10	2.58749
chr4	144738814	148129103	1866	1.67114
chr4	148129103	148210887	42	2.03981
chr4	148210887	148334254	87	3.18763
chr4	148334254	149000714	409	2.19605
chr4	149000714	149033230	31	1.63883
chr4	149033230	149378683	260	2.1735
chr4	149378683	155044874	3325	1.67468
chr4	155044874	155077789	24	2.3061
chr4	155077789	171112685	10412	1.63036
chr4	171112685	171151233	20	2.51192
chr4	171151233	172372115	793	1.60193
chr4	172372115	172377750	12	2.30452
chr4	172377750	172988538	404	1.60004
chr4	172988538	172992756	12	2.37523
chr4	172992756	173423734	236	1.61377
chr4	173423734	173455336	10	2.49962
chr4	173455336	173765573	182	1.57928
chr4	173765573	174118466	181	2.01728
chr4	174118466	182055171	5303	1.60158
chr4	182055171	182247434	161	1.11664
chr4	182247434	186196133	2892	1.65489
chr4	186196133	190542846	3128	2.12583
chr4	190542846	190661794	53	1.55782
chr4	190661794	191027924	147	2.14529
chr5	15532	126478	51	1.81598
chr5	126478	2076604	1058	3.55773
chr5	2076604	2992391	862	4.0426
chr5	2992391	11771846	7784	3.65051
chr5	11771846	15294575	2355	3.35858
chr5	15294575	19994529	3003	1.77233
chr5	19994529	21063004	621	2.90141
chr5	21063004	21299477	140	1.72003
chr5	21299477	21388818	48	2.14602
chr5	21388818	23025050	907	1.73222
chr5	23025050	23587145	360	2.25463
