X.chr	begin	relativeCvg
chr1	562000	0.44
chr1	72770000	0.05
chr1	72778000	0.70
chr1	72790000	0.27
chr1	142818000	0.70
chr1	155660000	0.15
chr1	158376000	0.16
chr1	161568000	0.58
chr1	199110000	0.17
chr1	206200000	0.14
chr1	210078000	0.14
chr1	210086000	0.78
chr1	210284000	0.39
chr2	133010000	0.56
chr2	133048000	0.74
chr2	133422000	0.67
chr2	133444000	0.77
chr2	146866000	0.00
chr2	146876000	0.78
chr2	149790582	0.78
chr3	60000	0.70
chr3	29034000	0.48
chr3	112876000	0.46
chr3	176082000	0.75
chr4	10000	0.68
chr4	9174000	0.49
chr4	49280000	0.60
chr4	191024000	0.62
chr5	10000	0.15
chr5	12812000	0.15
chr6	96388000	0.32
chr6	96390000	0.76
chr6	103738000	0.15
chr6	103762000	0.76
chr6	104906000	0.55
chr7	73900000	0.50
chr7	100634000	0.57
chr7	110184000	0.00
chr7	110188000	0.78
chr7	130254523	0.78
chr7	131752000	0.71
chr7	146758000	0.15
chr7	147070000	0.46
chr8	592000	0.37
chr8	600000	0.75
chr8	1398000	0.69
chr8	1452000	0.76
chr8	3594000	0.71
chr8	3858000	0.73
chr8	4150000	0.71
chr8	4274000	0.73
chr8	4970000	0.68
chr8	4994000	0.76
chr8	7104000	0.54
chr8	7364000	0.44
chr8	7524649	0.44
chr8	7856000	0.52
chr8	7988000	0.60
chr8	8092000	0.78
chr8	11946000	0.47
chr8	12252000	0.60
chr8	12468000	0.78
chr9	22496000	0.21
chr9	23364000	0.15
chr9	23378000	0.78
chr9	24502000	0.16
chr9	24520000	0.78
chr9	26806000	0.44
chr9	26808000	0.13
chr9	26812000	0.63
chr9	43344000	0.61
chr9	43358000	0.77
chr9	43426000	0.62
chr9	43490000	0.77
chr9	43574000	0.59
chr9	44272000	0.67
chr9	44502000	0.62
chr9	46704000	0.66
chr10	42418000	0.59
chr10	42820000	0.47
chr10	46476964	0.47
chr10	47529169	0.47
chr10	47892476	0.47
chr10	48105707	0.47
chr10	49195536	0.47
chr10	51187410	0.47
chr10	51448845	0.47
chr10	75374000	0.20
chr10	96868000	0.39
chr10	102354000	0.23
chr10	107056000	0.21
chr10	124356000	0.63
chr10	126188000	0.17
chr11	7812000	0.16
chr11	18942000	0.55
chr11	18966000	0.78
chr11	19454000	0.71
chr11	19540000	0.75
chr11	19760000	0.71
chr11	19844000	0.77
chr11	24284000	0.27
chr11	51568000	0.60
chr11	86068000	0.48
chr11	126688000	0.71
chr11	126760000	0.77
chr11	131856000	0.71
chr11	132104000	0.74
chr11	133048000	0.71
chr11	133100000	0.75
chr11	134912000	0.68
chr12	33390000	0.16
chr12	114530000	0.68
chr13	19068000	0.54
chr13	43802000	0.48
chr13	48914000	0.18
chr13	49046000	0.16
chr13	49054000	0.51
chr13	51362000	0.77
chr13	75710000	0.47
chr13	76074000	0.77
chr13	85522000	0.67
chr13	85542000	0.76
chr13	86910324	0.76
chr13	109866000	0.67
chr13	109880000	0.77
chr13	112152000	0.78
chr13	112503994	0.78
chr13	114425993	0.78
chr13	114739948	0.78
chr14	19214000	0.70
chr16	5426000	0.47
chr16	12468000	0.48
chr16	15048000	0.68
chr16	32662000	0.67
chr16	33184000	0.68
chr16	33950000	0.58
chr17	29284000	0.53
chr18	106000	0.76
chr18	22604000	0.45
chr18	78004000	0.61
chr20	60000	0.50
chr20	26188000	0.47
chr21	10138000	0.68
chr21	10942000	0.64
chr21	11002000	0.78
chr21	11144000	0.64
chr22	16510000	0.66
chr22	17770000	0.46
chr22	18658000	0.64
chr22	20322000	0.61
chr22	20609431	0.61
chr22	20950000	0.30
chr22	21514000	0.65
chr22	21744000	0.78
chr22	21816000	0.67
chr22	24346000	0.19
chr22	24394000	0.53
chr22	33756000	0.13
chr22	33780000	0.36
chrX	60000	0.48
chrX	76000	0.09
chrX	144821	0.52
chrX	281384	0.52
chrX	1097557	0.52
chrX	1184113	0.52
chrX	1314234	0.52
chrX	2118238	0.52
chrX	2699570	0.38
chrX	7673882	0.38
chrX	10788674	0.38
chrX	32656000	0.16
chrX	32712000	0.28
chrX	32792000	0.08
chrX	33164000	0.27
chrX	33216000	0.25
chrX	33304000	0.39
chrX	37148256	0.39
chrX	44700000	0.09
chrX	44990000	0.53
chrX	49292997	0.53
chrX	50024173	0.53
chrX	52445914	0.53
chrX	53006000	0.74
chrX	53844000	0.71
chrX	53960000	0.76
chrX	54682000	0.69
chrX	58474000	0.60
chrX	61720000	0.55
chrX	71154000	0.70
chrX	71178000	0.73
chrX	71532000	0.68
chrX	73140000	0.78
chrX	73232000	0.69
chrX	73416000	0.73
chrX	73548000	0.70
chrX	73780000	0.73
chrX	73862000	0.68
chrX	75934000	0.14
chrX	75996000	0.57
chrX	76002000	0.14
chrX	76036000	0.07
chrX	76062000	0.40
chrX	76070000	0.13
chrX	76238000	0.39
chrX	76282000	0.12
chrX	76294000	0.66
chrX	76703692	0.66
chrX	76782000	0.11
chrX	81092000	0.09
chrX	81484000	0.61
chrX	81502000	0.09
chrX	81802000	0.47
chrX	81808000	0.09
chrX	82314000	0.60
chrX	82320000	0.09
chrX	82798000	0.55
chrX	82804000	0.09
chrX	84402000	0.45
chrX	84408000	0.09
chrX	84784000	0.45
chrX	84790000	0.09
chrX	84984000	0.60
chrX	84988000	0.11
chrX	85006000	0.46
chrX	85012000	0.09
chrX	85368000	0.51
chrX	85374000	0.08
chrX	85564000	0.10
chrX	85606000	0.57
chrX	85610000	0.08
chrX	86656000	0.10
chrX	86698000	0.46
chrX	86732000	0.10
chrX	86808000	0.66
chrX	86852000	0.09
chrX	87484000	0.08
chrX	87532000	0.67
chrX	87564000	0.08
chrX	88020000	0.08
chrX	88036000	0.48
chrX	88042000	0.09
chrX	88094000	0.63
chrX	88110000	0.08
chrX	88118000	0.47
chrX	88144000	0.07
chrX	88548000	0.53
chrX	88554000	0.07
chrX	88862000	0.55
chrX	89916000	0.08
chrX	90882000	0.44
chrX	90888000	0.09
chrX	90940000	0.76
chrX	90942000	0.10
chrX	90986000	0.59
chrX	91016000	0.07
chrX	91034000	0.50
chrX	91042000	0.07
chrX	91054000	0.53
chrX	91252000	0.10
chrX	91288000	0.48
chrX	91470000	0.56
chrX	92040000	0.09
chrX	92388000	0.66
chrX	92424000	0.07
chrX	92442000	0.64
chrX	92464000	0.08
chrX	92670000	0.08
chrX	93158000	0.38
chrX	93984000	0.08
chrX	94020000	0.65
chrX	94076000	0.09
chrX	94080000	0.40
chrX	94164000	0.07
chrX	94182000	0.64
chrX	94200000	0.08
chrX	94238000	0.66
chrX	94254000	0.08
chrX	94652000	0.54
chrX	94660000	0.08
chrX	94678000	0.66
chrX	94834000	0.08
chrX	95310000	0.54
chrX	95318000	0.08
chrX	97780000	0.10
chrX	97958000	0.07
chrX	97984000	0.39
chrX	113567668	0.39
chrX	115732290	0.39
chrX	120063235	0.39
chrX	126598000	0.08
chrX	126602000	0.39
chrX	135068000	0.76
chrX	135126000	0.69
chrX	135524000	0.54
chrX	136776000	0.68
chrX	137628000	0.65
chrX	138012000	0.65
chrX	139732000	0.39
chrX	140068000	0.08
chrX	141426000	0.45
chrX	141432000	0.10
chrX	141566000	0.44
chrX	141572000	0.08
chrX	142284000	0.47
chrX	142314000	0.08
chrX	142600000	0.38
chrX	143164000	0.77
chrX	143290000	0.39
chrX	143557324	0.39
chrX	148956424	0.39
chrX	149082062	0.39
chrX	152327099	0.39
chrX	154931044	0.52
chrY	2649520	0.12
chrY	3306000	0.41
chrY	3318000	0.23
chrY	3400000	0.27
chrY	3452000	0.23
chrY	3708000	0.33
chrY	3722000	0.14
chrY	4816000	0.53
chrY	4822000	0.16
chrY	4908000	0.42
chrY	4916000	0.21
chrY	5190000	0.32
chrY	5270000	0.23
chrY	5454000	0.34
chrY	5480000	0.11
chrY	7022000	0.44
chrY	7028000	0.08
chrY	8964955	0.08
chrY	9291322	0.08
chrY	9908000	0.36
chrY	10084000	0.11
chrY	13104553	0.11
chrY	13132000	0.47
chrY	13193954	0.47
chrY	13198000	0.11
chrY	13240000	0.40
chrY	13688000	0.24
chrY	13746000	0.58
chrY	13798578	0.58
chrY	13872000	0.10
chrY	15292000	0.56
chrY	15296000	0.08
chrY	15636000	0.47
chrY	15642000	0.09
chrY	15672000	0.58
chrY	15676000	0.08
chrY	15804000	0.49
chrY	15810000	0.12
chrY	15884000	0.36
chrY	15892000	0.09
chrY	20193885	0.09
chrY	21536000	0.50
chrY	21540000	0.08
chrY	22419679	0.08
chrY	22530000	0.46
chrY	22536000	0.11
chrY	23106000	0.44
chrY	23112000	0.08
chrY	23951428	0.08
chrY	24486000	0.47
chrY	24492000	0.08
chrY	24516000	0.60
chrY	24522000	0.10
chrY	28784000	0.37
chrY	28804000	0.11
chrY	58819361	0.11
chrY	58967656	0.41
chrM	0	0.32
chr1	824000	1.49
chr1	2684220	1.49
chr1	3995268	1.49
chr1	13102998	1.49
chr1	13319912	1.49
chr1	13607162	1.49
chr1	17175658	1.49
chr1	30028082	1.49
chr1	36572000	1.91
chr1	36632000	1.43
chr1	72810000	1.37
chr1	75844000	3.31
chr1	75848000	1.38
chr1	83954000	1.42
chr1	103913906	1.42
chr1	120747156	1.42
chr1	121086695	1.42
chr1	143644525	1.78
chr1	143770000	1.57
chr1	143871002	1.57
chr1	144145783	1.57
chr1	144160000	2.62
chr1	144200000	3.06
chr1	144274481	1.58
chr1	144304000	1.80
chr1	144384000	1.63
chr1	144451744	1.63
chr1	144484000	1.77
chr1	144672413	1.77
chr1	144810724	1.77
chr1	144834000	1.66
chr1	144952000	1.89
chr1	145883118	1.89
chr1	146214650	1.89
chr1	146252000	1.59
chr1	146303299	1.59
chr1	146344000	1.88
chr1	146482000	1.67
chr1	146504000	1.82
chr1	146530000	1.48
chr1	147304000	1.81
chr1	148176038	1.81
chr1	148270000	2.29
chr1	148328000	1.54
chr1	148511358	1.54
chr1	148734147	1.54
chr1	149004460	1.54
chr1	149230000	1.89
chr1	149260000	1.70
chr1	149509645	1.70
chr1	149534000	1.80
chr1	149614000	1.66
chr1	149730000	1.96
chr1	152180000	1.61
chr1	152556000	2.01
chr1	152588000	1.40
chr1	153098000	1.59
chr1	155596000	2.68
chr1	155604000	1.61
chr1	155664000	1.59
chr1	157870000	1.36
chr1	158894000	1.44
chr1	159488000	1.51
chr1	161644000	1.48
chr1	163086000	1.43
chr1	164524000	1.42
chr1	164756000	1.40
chr1	165186000	1.36
chr1	165484000	1.44
chr1	166568000	1.44
chr1	168342000	1.40
chr1	169166000	1.45
chr1	206072707	1.38
chr1	223726000	1.45
chr2	5766000	1.40
chr2	7058000	1.39
chr2	7412000	1.35
chr2	7634000	1.42
chr2	9810000	1.53
chr2	9950000	1.79
chr2	10104000	1.59
chr2	10204000	1.83
chr2	10950000	1.47
chr2	12564000	1.80
chr2	12622000	1.47
chr2	16329724	1.47
chr2	18852000	1.38
chr2	20692000	1.41
chr2	21666000	1.35
chr2	22008000	1.43
chr2	31726790	1.43
chr2	33093197	1.43
chr2	33142692	1.43
chr2	35990000	1.44
chr2	37940000	1.46
chr2	38614000	1.45
chr2	42404000	1.52
chr2	48664000	1.36
chr2	51558000	1.38
chr2	52042000	1.65
chr2	54170000	1.44
chr2	59454000	1.36
chr2	66500000	1.37
chr2	66670000	1.61
chr2	76980000	2.72
chr2	76982000	5.56
chr2	77132000	4.21
chr2	77236000	2.88
chr2	77258000	4.58
chr2	77264000	2.28
chr2	77306000	2.22
chr2	77454000	2.36
chr2	78390000	1.95
chr2	78392000	1.68
chr2	78432000	2.29
chr2	78502000	1.62
chr2	79162000	2.27
chr2	79194000	1.62
chr2	79338000	1.87
chr2	79378000	1.61
chr2	79450000	2.14
chr2	79494000	1.54
chr2	79528000	2.12
chr2	79564000	2.47
chr2	79732000	2.07
chr2	80838000	2.39
chr2	80978000	2.83
chr2	81046000	1.99
chr2	81454000	1.68
chr2	81710000	1.96
chr2	82446000	2.55
chr2	83150000	1.93
chr2	83202000	2.60
chr2	83416000	3.11
chr2	84322000	2.49
chr2	84490000	2.14
chr2	84540000	2.31
chr2	84594000	3.02
chr2	84730000	2.37
chr2	84782000	2.97
chr2	85154000	3.35
chr2	85260000	3.13
chr2	85378000	2.50
chr2	85864000	3.29
chr2	85878000	2.52
chr2	85946000	1.99
chr2	87024000	1.52
chr2	87626000	1.85
chr2	87718206	1.85
chr2	87974000	1.67
chr2	88148000	1.98
chr2	88724000	2.39
chr2	89070000	1.43
chr2	89084000	2.08
chr2	89132000	2.36
chr2	89276000	1.88
chr2	89550000	1.41
chr2	89830436	1.41
chr2	90371525	1.41
chr2	91595103	1.41
chr2	95552000	1.38
chr2	105814000	1.42
chr2	106160000	1.37
chr2	112010000	1.52
chr2	195430000	1.88
chr2	195516000	1.65
chr2	196140000	2.05
chr2	197372000	1.68
chr2	197628000	1.80
chr2	198280000	1.61
chr2	198724000	2.00
chr2	199692000	2.32
chr2	200104000	1.95
chr2	200432000	2.32
chr2	201180000	2.09
chr2	222226000	2.07
chr2	232378000	3.12
chr2	232380000	4.43
chr2	242168000	1.39
chr3	112744000	2.44
chr3	112748000	3.77
chr3	133084000	1.47
chr3	141908000	1.47
chr3	145668000	1.37
chr3	147746000	1.37
chr3	148282000	2.74
chr3	148286000	1.40
chr3	162548000	1.35
chr3	165276000	1.95
chr3	165288000	1.38
chr3	175468000	1.97
chr3	176158000	2.05
chr3	177386000	2.04
chr3	185282000	2.52
chr4	26620000	1.34
chr4	49070000	1.40
chr4	49634000	1.53
chr4	52660117	1.53
chr4	57950000	1.76
chr4	58092000	1.45
chr4	59789333	1.45
chr5	736000	1.46
chr5	16106000	1.97
chr5	20922000	1.37
chr5	21150000	1.39
chr5	21260000	1.35
chr5	21574000	2.44
chr5	21668000	1.42
chr5	26018000	2.35
chr5	26026000	1.38
chr5	30488000	3.05
chr5	30492000	1.41
chr5	36896000	2.70
chr5	36970000	3.06
chr5	37294000	3.50
chr5	37480000	2.57
chr5	37488000	3.31
chr5	37636000	3.08
chr5	37698000	3.48
chr5	37766000	3.13
chr5	38366000	3.50
chr5	38630000	3.40
chr5	39036000	1.98
chr5	39040000	3.46
chr5	39340000	2.95
chr5	40624000	2.61
chr5	40674000	2.84
chr5	41488000	1.88
chr5	41494000	2.79
chr5	41598000	1.68
chr5	41790000	1.81
chr5	41956000	1.69
chr5	42876000	1.80
chr5	43664000	1.68
chr5	44646000	1.97
chr5	44946000	1.54
chr5	150204000	1.51
