X.chr	begin	relativeCvg
chr1	70626000	0.64
chr1	97122000	0.67
chr1	205718000	0.67
chr1	249068000	0.69
chr2	1504000	0.63
chr2	3860000	0.69
chr2	5118788	0.69
chr2	10178000	0.69
chr2	10426000	0.68
chr2	12790000	0.69
chr2	20428000	0.69
chr2	23976000	0.69
chr2	25550000	0.69
chr2	28812000	0.69
chr2	31738000	0.68
chr2	33093197	0.68
chr2	33142692	0.68
chr2	33430000	0.68
chr2	36000000	0.68
chr2	38464000	0.69
chr2	40484000	0.68
chr2	42306000	0.69
chr2	43536000	0.69
chr2	47902000	0.69
chr2	48664000	0.68
chr2	48792000	0.69
chr2	48864000	0.67
chr2	49026000	0.69
chr2	50280000	0.67
chr2	54900000	0.68
chr2	56894000	0.68
chr2	57846000	0.69
chr2	60464000	0.68
chr2	62888000	0.69
chr3	60000	0.68
chr3	666000	0.68
chr3	1732000	0.69
chr3	8990000	0.67
chr3	9362000	0.69
chr3	12082000	0.69
chr3	17216000	0.69
chr3	19032000	0.68
chr3	21300000	0.69
chr3	27046000	0.68
chr3	28110000	0.69
chr3	32122000	0.69
chr3	34482000	0.69
chr3	41050000	0.67
chr3	41898000	0.69
chr3	48696000	0.69
chr3	49948000	0.69
chr3	52564000	0.69
chr3	52908000	0.69
chr3	56992000	0.69
chr3	58280000	0.69
chr3	68894000	0.69
chr3	72772000	0.69
chr3	73780000	0.69
chr3	75924000	0.67
chr3	89940000	0.69
chr3	90258000	0.66
chr4	10000	0.69
chr4	656000	0.69
chr4	2186000	0.69
chr4	4120000	0.50
chr4	6626000	0.68
chr4	9210000	0.59
chr4	9324642	0.59
chr4	12110000	0.69
chr4	14790000	0.69
chr4	17768000	0.67
chr4	17922000	0.69
chr4	19090000	0.69
chr4	28626000	0.67
chr4	31837417	0.67
chr4	32840638	0.67
chr4	34830000	0.66
chr4	191026000	0.54
chr5	49698000	0.66
chr5	49850000	0.68
chr5	50652000	0.68
chr5	54418000	0.69
chr5	55878000	0.69
chr5	59372000	0.69
chr5	59928000	0.69
chr5	60540000	0.69
chr5	61420000	0.69
chr5	62166000	0.69
chr5	63432000	0.69
chr5	63784000	0.69
chr5	68022000	0.68
chr5	69310000	0.66
chr5	69704000	0.67
chr5	70186000	0.65
chr5	70744000	0.69
chr5	72030000	0.69
chr5	73196000	0.69
chr5	73704000	0.69
chr5	74574000	0.68
chr5	75006000	0.68
chr5	80588000	0.69
chr5	82244000	0.69
chr5	82760000	0.68
chr5	85602000	0.69
chr5	87312000	0.69
chr5	89380000	0.68
chr5	91686128	0.68
chr5	92602000	0.69
chr5	96676000	0.69
chr5	98902000	0.67
chr5	99734000	0.69
chr5	101530000	0.68
chr5	102030000	0.67
chr5	106246000	0.69
chr5	110664000	0.69
chr5	111894000	0.69
chr5	112812000	0.69
chr5	114280000	0.66
chr5	114462000	0.69
chr5	114798000	0.69
chr5	117894000	0.69
chr5	119038000	0.69
chr5	121552000	0.68
chr5	127096000	0.69
chr5	130480000	0.68
chr5	131236000	0.69
chr5	132198000	0.67
chr5	133486000	0.69
chr5	133924000	0.68
chr5	135078000	0.67
chr5	136966000	0.69
chr5	138528000	0.69
chr5	138837073	0.69
chr5	139396000	0.69
chr5	144010000	0.69
chr5	144808000	0.69
chr5	149782000	0.68
chr5	151098000	0.69
chr5	152158000	0.68
chr5	152466000	0.69
chr7	65504000	0.69
chr7	81512000	0.67
chr7	86956000	0.69
chr7	89818000	0.69
chr7	92770000	0.69
chr7	93222000	0.69
chr7	99546000	0.69
chr7	99942000	0.69
chr7	101326000	0.69
chr7	101716000	0.69
chr7	102712000	0.66
chr7	102926000	0.69
chr7	105920000	0.61
chr7	106570000	0.69
chr7	108386000	0.69
chr7	109456000	0.68
chr7	116846000	0.69
chr7	124636000	0.69
chr7	129430000	0.69
chr7	135046000	0.69
chr7	137224000	0.69
chr7	140430000	0.69
chr7	144142000	0.69
chr7	145750000	0.69
chr7	146638000	0.69
chr7	149588000	0.69
chr7	151668000	0.68
chr7	152002000	0.69
chr7	152124000	0.69
chr7	154714000	0.69
chr7	157068000	0.69
chr7	159110000	0.61
chr8	1068000	0.68
chr8	1676000	0.69
chr8	2330000	0.69
chr8	3152000	0.69
chr8	9310000	0.69
chr8	12584000	0.60
chr8	19796000	0.56
chr8	22058000	0.60
chr8	24316000	0.49
chr8	25962000	0.55
chr8	28202000	0.69
chr8	29188000	0.65
chr8	32310000	0.68
chr8	32690000	0.54
chr8	41098000	0.69
chr8	41638000	0.69
chr8	50244000	0.67
chr9	10000	0.51
chr9	135050000	0.69
chr9	139672000	0.66
chr9	140080000	0.68
chr9	140430000	0.69
chr11	55366000	0.69
