X.chr	begin	relativeCvg
chr1	564000	0.28
chr1	72336000	0.62
chr1	142548000	0.66
chr1	142781022	0.66
chr1	208018000	0.49
chr1	220194000	0.74
chr1	220262000	0.67
chr1	221142000	0.74
chr1	221384000	0.67
chr1	222918000	0.69
chr1	223382000	0.70
chr1	223538000	0.75
chr1	223634000	0.69
chr1	224684000	0.49
chr1	227170000	0.47
chr1	227928000	0.69
chr1	228070000	0.67
chr1	228438000	0.69
chr1	228566000	0.75
chr1	229410000	0.47
chr1	234568000	0.52
chr1	234956000	0.47
chr1	235242211	0.47
chr1	241690000	0.66
chr1	243494000	0.70
chr1	243934000	0.75
chr1	244008000	0.70
chr1	245270000	0.68
chr1	247670000	0.68
chr1	248868000	0.15
chr2	10000	0.59
chr2	3579312	0.59
chr2	4224000	0.59
chr2	5118788	0.59
chr2	5798000	0.60
chr2	10864000	0.67
chr2	81834000	0.63
chr2	86476000	0.69
chr2	87010000	0.69
chr2	88296000	0.66
chr2	89892000	0.61
chr2	141928000	0.59
chr2	162134000	0.60
chr2	205344000	0.15
chr3	10966000	0.69
chr3	11218000	0.75
chr3	11938000	0.69
chr3	13228000	0.70
chr3	13558000	0.68
chr3	13990000	0.75
chr3	14544000	0.69
chr3	14650000	0.74
chr3	14780000	0.69
chr3	15960000	0.69
chr3	16260000	0.75
chr3	16366000	0.70
chr3	16714000	0.75
chr3	17154000	0.70
chr3	17636000	0.74
chr3	17838000	0.68
chr3	19948000	0.74
chr3	20234000	0.66
chr3	23754000	0.75
chr3	24142000	0.67
chr3	25642000	0.73
chr3	25848000	0.67
chr3	26444000	0.67
chr3	27462000	0.75
chr3	27658000	0.69
chr3	28426000	0.67
chr3	30582000	0.74
chr3	30750000	0.69
chr3	31508000	0.75
chr3	31686000	0.68
chr3	32048000	0.73
chr3	32186000	0.71
chr3	32820000	0.70
chr3	33180000	0.69
chr3	33410000	0.75
chr3	33594000	0.71
chr3	33740000	0.64
chr3	37476000	0.69
chr3	38490000	0.67
chr3	39044000	0.75
chr3	39446000	0.67
chr3	40290000	0.75
chr3	40616000	0.70
chr3	42294000	0.71
chr3	42910000	0.70
chr3	43876000	0.69
chr3	45186000	0.71
chr3	46700000	0.70
chr3	46796000	0.18
chr3	46812000	0.47
chr3	46844000	0.14
chr3	46850000	0.50
chr3	53514000	0.68
chr3	53978000	0.67
chr3	56904000	0.70
chr3	58540000	0.67
chr3	58844000	0.66
chr3	60486000	0.16
chr3	60538000	0.67
chr3	64078000	0.68
chr3	66270270	0.74
chr3	66394000	0.66
chr3	69058000	0.74
chr3	69402000	0.67
